4.00	55.55	0.31	0.01
3.80	54.77	0.30	0.01
3.60	54.12	0.30	0.01
3.40	53.40	0.30	0.01
3.20	52.50	0.30	0.01
3.00	51.76	0.30	0.01
2.80	50.96	0.30	0.01
2.70	50.20	0.16	0.01
2.60	49.87	0.16	0.01
2.50	49.48	0.16	0.01
2.40	49.11	0.16	0.01
2.30	48.73	0.16	0.01
2.20	48.15	0.16	0.01
2.10	47.80	0.15	0.01
2.00	47.44	0.15	0.01
1.90	47.00	0.15	0.01
1.80	46.47	0.15	0.01
1.70	46.06	0.15	0.01
1.60	45.57	0.15	0.01
1.50	45.13	0.15	0.01
1.40	44.64	0.15	0.01
1.30	44.14	0.15	0.01
1.20	43.58	0.15	0.01
1.10	42.96	0.15	0.01
1.00	42.20	0.14	0.01
0.96	41.82	0.06	0.01
0.92	41.50	0.06	0.01
0.88	41.13	0.06	0.01
0.84	40.75	0.06	0.01
0.80	40.34	0.06	0.01
0.76	39.93	0.06	0.01
0.72	39.40	0.06	0.01
0.68	38.87	0.06	0.01
0.64	38.16	0.06	0.01
0.60	37.48	0.06	0.01
0.56	36.61	0.06	0.01
0.52	35.73	0.06	0.01
0.48	35.01	0.06	0.01
0.44	33.75	0.06	0.01
0.40	32.50	0.06	0.01
0.36	31.08	0.06	0.01
0.32	29.50	0.06	0.01
0.28	27.61	0.06	0.01
0.24	25.19	0.06	0.01
0.20	22.48	0.06	0.01
