4.00	31.88	0.31	0.01
3.80	31.84	0.30	0.01
3.60	31.62	0.30	0.01
3.40	31.30	0.30	0.01
3.20	30.97	0.30	0.01
3.00	30.68	0.30	0.01
2.80	30.20	0.30	0.01
2.70	29.99	0.16	0.01
2.60	29.80	0.16	0.01
2.50	29.59	0.16	0.01
2.40	29.42	0.16	0.01
2.30	29.22	0.16	0.01
2.20	28.99	0.16	0.01
2.10	28.72	0.15	0.01
2.00	28.53	0.15	0.01
1.90	28.34	0.15	0.01
1.80	28.13	0.15	0.01
1.70	27.90	0.15	0.01
1.60	27.68	0.15	0.01
1.50	27.45	0.15	0.01
1.40	27.18	0.15	0.01
1.30	26.91	0.15	0.01
1.20	26.66	0.15	0.01
1.10	26.37	0.15	0.01
1.00	26.10	0.14	0.01
0.96	25.92	0.06	0.01
0.92	25.78	0.06	0.01
0.88	25.66	0.06	0.01
0.84	25.52	0.06	0.01
0.80	25.37	0.06	0.01
0.76	25.21	0.06	0.01
0.72	25.04	0.06	0.01
0.68	24.87	0.06	0.01
0.64	24.67	0.06	0.01
0.60	24.43	0.06	0.01
0.56	24.17	0.06	0.01
0.52	23.85	0.06	0.01
0.48	23.48	0.06	0.01
0.44	22.99	0.06	0.01
0.40	22.36	0.06	0.01
0.36	21.49	0.06	0.01
0.32	20.53	0.06	0.01
0.28	19.20	0.06	0.01
0.24	17.56	0.06	0.01
0.20	15.44	0.06	0.01
0.40	22.22	0.03	0.01
0.38	21.88	0.03	0.01
0.36	21.45	0.03	0.01
0.34	20.96	0.03	0.01
0.32	20.44	0.03	0.01
0.30	19.80	0.03	0.01
0.28	19.13	0.03	0.01
0.26	18.40	0.03	0.01
0.24	17.46	0.03	0.01
0.22	16.47	0.03	0.01
0.20	15.25	0.03	0.01
